,period,exp_duration,experiment,duration,energy,power_avg,ID
342,0.1,80075,stress-ng,80.072,262.15987500000307,3.274051790888239,493
343,0.1,80022,stress-ng,80.017,261.53222499999293,3.268458265118574,302
344,0.1,80022,stress-ng,80.016,311.6869249999967,3.8953075009997584,48
345,0.1,80025,stress-ng,80.021,188.97107500000496,2.361518538883605,46
346,0.1,80053,stress-ng,80.046,297.2119999999963,3.713015016365543,79
347,0.1,80025,stress-ng,80.022,311.9637500000057,3.898474794431602,402
348,0.1,80023,stress-ng,80.02,327.795500000003,4.0964196450887655,167
349,0.1,80023,stress-ng,80.018,262.1577249999993,3.276234409757796,429
350,0.1,80032,stress-ng,80.012,313.72622500000085,3.920989664050403,31
351,0.1,80023,stress-ng,80.017,278.5375249999967,3.480979354387152,540
352,0.1,80023,stress-ng,80.016,278.1965749999914,3.4767618351328657,508
353,0.1,80022,stress-ng,80.006,297.83372499999865,3.7226423643226587,245
354,0.1,80023,stress-ng,80.017,278.71752499999343,3.483228876363691,597
355,0.1,80022,stress-ng,80.018,261.3544749999977,3.2661960433902086,537
356,0.1,80023,stress-ng,80.019,262.07429999999783,3.2751509016608282,193
357,0.1,80062,stress-ng,80.055,297.97814999999173,3.722167884579248,269
358,0.1,80026,stress-ng,80.018,328.60622500000704,4.106653815391625,310
359,0.1,80026,stress-ng,80.024,328.020899999999,4.099031540537826,594
360,0.2,80027,stress-ng,80.022,312.0630999999948,3.899716328009732,425
361,0.2,80026,stress-ng,80.018,188.8652250000064,2.3602842485441577,426
362,0.2,80022,stress-ng,80.02,260.4610999999924,3.2549500124967814,575
363,0.2,80026,stress-ng,80.021,327.34427500000226,4.090729620974522,51
364,0.2,80097,stress-ng,80.093,277.3536249999899,3.46289469741413,450
365,0.2,80025,stress-ng,80.022,188.40515000000804,2.3544169103497543,577
366,0.2,80029,stress-ng,80.019,327.15072500000497,4.088413064397267,447
367,0.2,80099,stress-ng,80.093,260.4940999999918,3.2523953404166632,407
368,0.2,80063,stress-ng,80.059,276.9680749999878,3.4595495197290473,582
369,0.2,80025,stress-ng,79.988,188.45452500000613,2.3560349677452384,58
370,0.2,80023,stress-ng,80.015,312.1477749999971,3.9011157283009075,587
371,0.2,80158,stress-ng,80.154,258.9288749999977,3.2303924320682396,586
372,0.2,80022,stress-ng,80.019,277.1931499999873,3.464091653232199,399
373,0.2,80022,stress-ng,80.013,276.78252499998877,3.4592194393409663,421
374,0.2,80025,stress-ng,80.019,258.2181999999903,3.226961096739403,574
375,0.2,80022,stress-ng,80.019,327.76012500000314,4.0960287556705675,258
376,0.2,80026,stress-ng,80.018,188.37865000000593,2.3542034292284977,81
377,0.2,80040,stress-ng,80.034,297.16672499999567,3.713006034935098,461
378,0.2,80037,stress-ng,80.031,312.54507499999454,3.9053001336981232,541
379,0.2,80099,stress-ng,80.094,277.20634999998833,3.461012685094868,180
380,0.2,80025,stress-ng,80.022,327.3141000000032,4.090301417110334,535
381,0.2,80022,stress-ng,80.019,296.1431499999933,3.700910408777831,304
382,0.2,80022,stress-ng,80.011,276.5223749999908,3.456054480008884,533
383,0.2,80028,stress-ng,80.023,188.31512500000576,2.353262499531457,198
384,0.2,80024,stress-ng,80.008,312.2974000000049,3.9033271672833334,529
385,0.2,80043,stress-ng,80.039,295.89934999999474,3.6969396169366777,291
386,0.2,80025,stress-ng,80.02,188.51780000000628,2.3558835291177993,521
387,0.2,80023,stress-ng,80.019,276.3456999999916,3.453501043502063,317
388,0.2,80023,stress-ng,80.014,259.70909999998605,3.24579573574607,217
389,0.2,80027,stress-ng,80.023,327.230150000002,4.089201229646502,283
390,0.2,80039,stress-ng,80.033,294.8496499999953,3.684100933364928,514
391,0.2,80026,stress-ng,80.022,188.80000000000408,2.3593511784259835,497
